make,model,year,yin,color
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0
Buick Skylark 320,15.0,8,350.0,165.0
Plymouth Satellite,18.0,8,318.0,150.0
AMC Rebel SST,16.0,8,304.0,150.0
Ford Torino,17.0,8,302.0,140.0
Ford Galaxie 500,15.0,8,429.0,198.0
Chevrolet Impala,14.0,8,454.0,220.0
Plymouth Fury iii,14.0,8,440.0,215.0
Pontiac Catalina,14.0,8,455.0,225.0
AMC Ambassador DPL,15.0,8,390.0,190.0
Citroen DS-21 Pallas,0,4,133.0,115.0
Chevrolet Chevelle Concours (sw),0,8,350.0,165.0
Ford Torino (sw),0,8,351.0,153.0
Plymouth Satellite (sw),0,8,383.0,175.0
AMC Rebel SST (sw),0,8,360.0,175.0
Dodge Challenger SE,15.0,8,383.0,170.0
Plymouth 'Cuda 340,14.0,8,340.0,160.0
Ford Mustang Boss 302,0,8,302.0,140.0
Chevrolet Monte Carlo,15.0,8,400.0,150.0
Buick Estate Wagon (sw),14.0,8,455.0,225.0
Toyota Corolla Mark ii,24.0,4,113.0,95.00
Plymouth Duster,22.0,6,198.0,95.00
AMC Hornet,18.0,6,199.0,97.00
Ford Maverick,21.0,6,200.0,85.00
Datsun PL510,27.0,4,97.00,88.00
Volkswagen 1131 Deluxe Sedan,26.0,4,97.00,46.00
Peugeot 504,25.0,4,110.0,87.00
Audi 100 LS,24.0,4,107.0,90.00
Saab 99e,25.0,4,104.0,95.00
BMW 2002,26.0,4,121.0,113.0
AMC Gremlin,21.0,6,199.0,90.00
Ford F250,10.0,8,360.0,215.0
Chevy C20,10.0,8,307.0,200.0
Dodge D200,11.0,8,318.0,210.0
Hi 1200D,9.0,8,304.0,193.0
Datsun PL510,27.0,4,97.00,88.00
Chevrolet Vega 2300,28.0,4,140.0,90.00
Toyota Corolla,25.0,4,113.0,95.00
Ford Pinto,25.0,4,98.00,0
Volkswagen Super Beetle 117,0,4,97.00,48.00
AMC Gremlin,19.0,6,232.0,100.0
Plymouth Satellite Custom,16.0,6,225.0,105.0
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0
Ford Torino 500,19.0,6,250.0,88.00
AMC Matador,18.0,6,232.0,100.0
Chevrolet Impala,14.0,8,350.0,165.0
Pontiac Catalina Brougham,14.0,8,400.0,175.0
Ford Galaxie 500,14.0,8,351.0,153.0
Plymouth Fury iii,14.0,8,318.0,150.0
Dodge Monaco (sw),12.0,8,383.0,180.0
Ford Country Squire (sw),13.0,8,400.0,170.0
Pontiac Safari (sw),13.0,8,400.0,175.0
AMC Hornet Sportabout (sw),18.0,6,258.0,110.0
Chevrolet Vega (sw),22.0,4,140.0,72.00
Pontiac Firebird,19.0,6,250.0,100.0
Ford Mustang,18.0,6,250.0,88.00
Mercury Capri 2000,23.0,4,122.0,86.00
Opel 1900,28.0,4,116.0,90.00
Peugeot 304,30.0,4,79.00,70.00
Fiat 124B,30.0,4,88.00,76.00
Toyota Corolla 1200,31.0,4,71.00,65.00
Datsun 1200,35.0,4,72.00,69.00
Volkswagen Model 111,27.0,4,97.00,60.00
Plymouth Cricket,26.0,4,91.00,70.00
Toyota Corolla Hardtop,24.0,4,113.0,95.00
Dodge Colt Hardtop,25.0,4,97.50,80.00
Volkswagen Type 3,23.0,4,97.00,54.00
Chevrolet Vega,20.0,4,140.0,90.00
Ford Pinto Runabout,21.0,4,122.0,86.00
Chevrolet Impala,13.0,8,350.0,165.0
Pontiac Catalina,14.0,8,400.0,175.0
Plymouth Fury III,15.0,8,318.0,150.0
Ford Galaxie 500,14.0,8,351.0,153.0
AMC Ambassador SST,17.0,8,304.0,150.0
Mercury Marquis,11.0,8,429.0,208.0
Buick LeSabre Custom,13.0,8,350.0,155.0
Oldsmobile Delta 88 Royale,12.0,8,350.0,160.0
Chrysler Newport Royal,13.0,8,400.0,190.0
Mazda RX2 Coupe,19.0,3,70.00,97.00
AMC Matador (sw),15.0,8,304.0,150.0
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0
Ford Gran Torino (sw),13.0,8,302.0,140.0
Plymouth Satellite Custom (sw),14.0,8,318.0,150.0
Volvo 145e (sw),18.0,4,121.0,112.0
Volkswagen 411 (sw),22.0,4,121.0,76.00
Peugeot 504 (sw),21.0,4,120.0,87.00
Renault 12 (sw),26.0,4,96.00,69.00
Ford Pinto (sw),22.0,4,122.0,86.00
Datsun 510 (sw),28.0,4,97.00,92.00
Toyota Corolla Mark II (sw),23.0,4,120.0,97.00
Dodge Colt (sw),28.0,4,98.00,80.00
Toyota Corolla 1600 (sw),27.0,4,97.00,88.00
Buick Century 350,13.0,8,350.0,175.0
AMC Matador,14.0,8,304.0,150.0
Chevrolet Malibu,13.0,8,350.0,145.0
Ford Gran Torino,14.0,8,302.0,137.0
Dodge Coronet Custom,15.0,8,318.0,150.0
Mercury Marquis Brougham,12.0,8,429.0,198.0
Chevrolet Caprice Classic,13.0,8,400.0,150.0
Ford LTD,13.0,8,351.0,158.0
Plymouth Fury Gran Sedan,14.0,8,318.0,150.0
Chrysler New Yorker Brougham,13.0,8,440.0,215.0
Buick Electra 225 Custom,12.0,8,455.0,225.0
AMC Ambassador Brougham,13.0,8,360.0,175.0
Plymouth Valiant,18.0,6,225.0,105.0
Chevrolet Nova Custom,16.0,6,250.0,100.0
AMC Hornet,18.0,6,232.0,100.0
Ford Maverick,18.0,6,250.0,88.00
Plymouth Duster,23.0,6,198.0,95.00
Volkswagen Super Beetle,26.0,4,97.00,46.00
Chevrolet Impala,11.0,8,400.0,150.0
